mult,k_c,M_margin,track_err_L2,overshoot,diverged,design
0.25,0.10481004858111005,0.775,0.9662633662429155,1.000215649082102,False,LC-binding-certificate x mult
0.5,0.2096200971622201,0.55,0.9327586238884966,1.000431136978917,False,LC-binding-certificate x mult
1.0,0.4192401943244402,0.09999999999999998,0.8680290568657225,1.0008616292153514,False,LC-binding-certificate x mult
2.0,0.8384803886488804,-0.8,0.7482661939498993,1.0017206794501143,False,LC-binding-certificate x mult
4.0,1.6769607772977608,-2.6,0.5520823918882214,1.0034310428929545,False,LC-binding-certificate x mult
8.0,3.3539215545955217,-6.2,0.36363646359820306,1.0068208210829523,False,LC-binding-certificate x mult
16.0,6.707843109191043,-13.4,0.46442118404098864,1.0134771428863028,False,LC-binding-certificate x mult
32.0,13.415686218382087,-27.8,0.8943197855561212,1.7644261946082525,False,LC-binding-certificate x mult
64.0,26.831372436764173,-56.6,2.630171344042849,4.53701567328538,False,LC-binding-certificate x mult
128.0,53.66274487352835,-114.2,5.8097193378231715,11.906185383516636,False,LC-binding-certificate x mult
