model,seed,S_emp,ID_RMSE,L_cert,eps_L_emp
MLP,42,0.3095831573009491,0.010635890428313676,,
MLP,43,0.29005807638168335,0.010054699713433531,,
MLP,44,0.32594266533851624,0.009467981785256825,,
MLP,45,0.2872115671634674,0.010066780096897666,,
MLP,46,0.3009096384048462,0.011039810338576147,,
LSTM,42,0.24512597918510437,0.014018946537200221,,
LSTM,43,0.255650132894516,0.009448255864214794,,
LSTM,44,0.21376051008701324,0.013202067077451486,,
LSTM,45,0.21067053079605103,0.017474363302376627,,
LSTM,46,0.2610763609409332,0.011398350538125667,,
Transformer,42,0.24171945452690125,0.03349340347407793,,
Transformer,43,0.2541344165802002,0.01686375970197058,,
Transformer,44,0.22954149544239044,0.03833789350929504,,
Transformer,45,0.2723154127597809,0.030815677019244023,,
Transformer,46,0.24260367453098297,0.02559286280449131,,
FNO,42,3.568113088607788,0.03736711703231423,,
FNO,43,2.9083611965179443,0.037171922850247306,,
FNO,44,2.2254772186279297,0.03575574820871024,,
FNO,45,1.6526812314987183,0.03785821496986597,,
FNO,46,2.3794472217559814,0.0365812148080973,,
DeepONet,42,0.240862175822258,0.012310911678239196,,
DeepONet,43,0.26745542883872986,0.010423223132070086,,
DeepONet,44,0.25812429189682007,0.013060180871360912,,
DeepONet,45,0.29201552271842957,0.011993026605995143,,
DeepONet,46,0.2858782708644867,0.01088434843704812,,
LC-DeepONet,42,0.2553282082080841,0.016332113023376213,4.2245431122336,0.05219774320721626
LC-DeepONet,43,0.25914156436920166,0.010126206402437775,3.6407724120540212,0.03511757776141167
LC-DeepONet,44,0.26622065901756287,0.010126632839520738,3.873869311506242,0.04328911751508713
LC-DeepONet,45,0.26163679361343384,0.011307338617563365,3.920577219398033,0.03410257399082184
LC-DeepONet,46,0.28488555550575256,0.011462149043427797,3.8024062410157904,0.03408096358180046
