model,seed,RMSE_noise_1%,RMSE_noise_3%,RMSE_noise_5%,RMSE_noise_10%
MLP,42,0.010703288369319837,0.012642147888388331,0.016137505875022388,0.027498723560614936
LSTM,42,0.011098995919210018,0.012552124408739465,0.014976352315850875,0.023060994399635916
Transformer,42,0.031099605763698742,0.03146198390535322,0.032382371690094364,0.03677884773910792
FNO,42,0.038009599144295955,0.053029084572221837,0.06774099491421552,0.09276574253494402
DeepONet,42,0.013195348836868253,0.01435332199105053,0.016631018753486465,0.02500273416699956
LC-DeepONet,42,0.012002564713211055,0.013321177926958699,0.015855249413845546,0.024724313426896478
MLP,43,0.009676041086859991,0.011940405841874403,0.015457700284749446,0.026024864533208195
LSTM,43,0.010708378424669167,0.012196272638963364,0.014673979167644494,0.022868548554182605
Transformer,43,0.019844823673536866,0.02060524962408154,0.022163077268495816,0.028548314556550575
FNO,43,0.03924899731776339,0.057138607228525665,0.07343533479765495,0.10073961166632832
DeepONet,43,0.01254298448873487,0.013853087695057768,0.016168357543183024,0.02419956513565657
LC-DeepONet,43,0.011296588809536996,0.01272051286189034,0.01522303301931305,0.023839174653695384
MLP,44,0.010577507907152848,0.012864573775371065,0.016284103979595295,0.0269335954166824
LSTM,44,0.014435624952728357,0.015413953546855812,0.017272846437289963,0.024241932610067064
Transformer,44,0.025342783881133802,0.025810324014458576,0.026902689383820417,0.03188790120455057
FNO,44,0.04007401917528082,0.05745495772544466,0.07347049732718418,0.10186378101288159
DeepONet,44,0.018706805548438458,0.01965651426958288,0.02143822666266358,0.028440921565817994
LC-DeepONet,44,0.012422385786309104,0.014305209858896044,0.01730988650846945,0.02704688691431507
MLP,45,0.01092532027363695,0.013192056549027031,0.01662209237165978,0.026873796884503698
LSTM,45,0.009301650992853967,0.011037277259429074,0.013831438952848161,0.022660886664143835
Transformer,45,0.030817252319646667,0.031362142364970376,0.03246587523801268,0.03726588360578748
FNO,45,0.04098254385377676,0.0556936854460467,0.07011879624245293,0.09650240644699655
DeepONet,45,0.014164809785964393,0.015351325301256125,0.01746179746317193,0.025167410208297596
LC-DeepONet,45,0.012794106784098886,0.014223419882571618,0.016668168558434424,0.025211306234428757
MLP,46,0.009824917028554678,0.011654068716175489,0.015015216366951521,0.026003036059271137
LSTM,46,0.008912258289409955,0.010721012399430564,0.013572600130104202,0.02245150113911752
Transformer,46,0.03925413569982058,0.03969995599805522,0.04055397612115527,0.044198346165207895
FNO,46,0.037984793191535485,0.05426110137174661,0.06782054390860667,0.08876452961712344
DeepONet,46,0.014428535067427223,0.015690051577639526,0.017965155480391105,0.025900887654630507
LC-DeepONet,46,0.014677415437907057,0.01582579194062098,0.018016935934081737,0.025954013822018042
