config,seed,ID_RMSE,OOD_RMSE,S_emp,L_cert
A (bare DeepONet),42,0.011394709536334936,0.014303570473286575,0.2567370533943176,
A (bare DeepONet),43,0.010913864210398682,0.013584724527114154,0.2635691463947296,
A (bare DeepONet),44,0.012654170210181274,0.01394887128300787,0.24700668454170227,
A (bare DeepONet),45,0.01234155087747281,0.013132158360991436,0.2801729440689087,
A (bare DeepONet),46,0.011912532443347197,0.013419509666298594,0.27688315510749817,
B (+Lip),42,0.011621283481555722,0.013355949730285897,0.27495285868644714,4.009850745306314
B (+Lip),43,0.01587307954467776,0.01607721077244743,0.24258394539356232,3.5141145917865186
B (+Lip),44,0.012953061694032495,0.014359968681964276,0.27042803168296814,4.547137079256508
B (+Lip),45,0.011292522616441158,0.01215521663731571,0.2877071797847748,4.093179455688761
B (+Lip),46,0.016501333632937314,0.018027581239687906,0.3243962526321411,4.115510671497267
C (+Dyn),42,0.01100718055773154,0.012920209006710866,0.28987517952919006,
C (+Dyn),43,0.011382812466699945,0.012343452618282154,0.27516642212867737,
C (+Dyn),44,0.02019520115660257,0.021341764929810266,0.22634758055210114,
C (+Dyn),45,0.010582855781624089,0.01153916855122821,0.28548765182495117,
C (+Dyn),46,0.010362118695117533,0.011881328267286356,0.26079991459846497,
D (full LC),42,0.012256046475163953,0.014574018327836114,0.2437930405139923,4.336184702925852
D (full LC),43,0.011476484865762835,0.013189135265425006,0.26677313446998596,4.040690358769715
D (full LC),44,0.01046282590290102,0.012174655179716531,0.2609507739543915,3.978519286264082
D (full LC),45,0.011705236789678906,0.012137795440255618,0.27906617522239685,4.238343079880053
D (full LC),46,0.012095163474702084,0.012609642078568094,0.3178854286670685,3.539999537475407
