mult,k_c,M_margin,track_err_L2,overshoot,diverged
0.25,0.0602445,0.775,0.9766817006166357,0.9999283951311145,False
0.5,0.120489,0.55,0.953786559848706,0.9998567917845613,False
0.75,0.1807335,0.32500000000000007,0.9313150525294854,0.9997851899603233,False
0.9,0.2168802,0.19000000000000006,0.9180355588675186,0.9997422295964847,False
1.0,0.240978,0.09999999999999998,0.9092673052407537,0.9997135896583835,False
1.25,0.3012225,-0.125,0.8876431120604656,0.999641990878725,False
2.0,0.481956,-0.8,0.8253051421076192,0.9994272036732667,False
4.0,0.963912,-2.6,0.6773867930375121,0.9988545047681808,False
8.0,1.927824,-6.2,0.4565521538822668,0.9977093991881433,False
16.0,3.855648,-13.4,0.2545712663887052,1.1072436223144326,False
32.0,7.711296,-27.8,0.2570152724872983,0.9908469444975769,False
64.0,15.422592,-56.6,0.4715970727848189,0.981718795535442,False
128.0,30.845184,-114.2,0.5101028105498042,1.4051654896270018,False
