point,c,k,alpha,design,k_c,track_err_L2,overshoot,diverged
"corner(0.4,0.8,0.5)",0.4,0.8,0.5,mid-calibrated,0.22705027357258312,0.9209147545706852,1.000484665973319,False
"corner(0.4,0.8,0.5)",0.4,0.8,0.5,box-worst-calibrated,0.22227077256866443,0.9225373646779115,1.00047447152196,False
"corner(0.4,0.8,1.2)",0.4,0.8,1.2,mid-calibrated,0.22705027357258312,0.9209343205938775,1.0004846659727917,False
"corner(0.4,0.8,1.2)",0.4,0.8,1.2,box-worst-calibrated,0.22227077256866443,0.9225557594420122,1.0004744715214653,False
"corner(0.4,1.2,0.5)",0.4,1.2,0.5,mid-calibrated,0.22705027357258312,0.9237415723323155,1.000480988172273,False
"corner(0.4,1.2,0.5)",0.4,1.2,0.5,box-worst-calibrated,0.22227077256866443,0.9253080358233744,1.0004708711255352,False
"corner(0.4,1.2,1.2)",0.4,1.2,1.2,mid-calibrated,0.22705027357258312,0.9237593890493274,1.0004809881717516,False
"corner(0.4,1.2,1.2)",0.4,1.2,1.2,box-worst-calibrated,0.22227077256866443,0.9253247837176974,1.0004708711250463,False
"corner(0.8,0.8,0.5)",0.8,0.8,0.5,mid-calibrated,0.22705027357258312,0.9297569547686634,1.0004534871848596,False
"corner(0.8,0.8,0.5)",0.8,0.8,0.5,box-worst-calibrated,0.22227077256866443,0.9312027362306041,1.000443948735333,False
"corner(0.8,0.8,1.2)",0.8,0.8,1.2,mid-calibrated,0.22705027357258312,0.9297703346674602,1.000453487184405,False
"corner(0.8,0.8,1.2)",0.8,0.8,1.2,box-worst-calibrated,0.22227077256866443,0.9312153111889083,1.0004439487349066,False
"corner(0.8,1.2,0.5)",0.8,1.2,0.5,mid-calibrated,0.22705027357258312,0.932168945257392,1.0004500425627068,False
"corner(0.8,1.2,0.5)",0.8,1.2,0.5,box-worst-calibrated,0.22227077256866443,0.9335663279266649,1.0004405766099382,False
"corner(0.8,1.2,1.2)",0.8,1.2,1.2,mid-calibrated,0.22705027357258312,0.9321811616192678,1.0004500425622576,False
"corner(0.8,1.2,1.2)",0.8,1.2,1.2,box-worst-calibrated,0.22227077256866443,0.9335778081604998,1.0004405766095166,False
mid,0.6,1.0,0.85,mid-calibrated,0.22705027357258312,0.9268736365800189,1.0004669575299774,False
mid,0.6,1.0,0.85,box-worst-calibrated,0.22227077256866443,0.9283770310594515,1.0004571356771297,False
