seed,point,c,k,alpha,L_cert,eps_L_hat,plant_bound,L_G_true,covers_true
42,"corner(0.4,0.8,0.5)",0.4,0.8,0.5,3.6783964894552557,0.12384936213493347,3.802245851590189,0.5872153043746948,True
42,"corner(0.4,0.8,1.2)",0.4,0.8,1.2,3.6783964894552557,0.10953252017498016,3.787929009630236,0.5809274911880493,True
42,"corner(0.4,1.2,0.5)",0.4,1.2,0.5,3.6783964894552557,0.0700150728225708,3.7484115622778265,0.5439135432243347,True
42,"corner(0.4,1.2,1.2)",0.4,1.2,1.2,3.6783964894552557,0.06604267656803131,3.744439166023287,0.5389126539230347,True
42,"corner(0.8,0.8,0.5)",0.8,0.8,0.5,3.6783964894552557,0.041813358664512634,3.7202098481197683,0.4973408877849579,True
42,"corner(0.8,0.8,1.2)",0.8,0.8,1.2,3.6783964894552557,0.0416673868894577,3.7200638763447134,0.49370521306991577,True
42,"corner(0.8,1.2,0.5)",0.8,1.2,0.5,3.6783964894552557,0.07973573356866837,3.758132223023924,0.4628593623638153,True
42,"corner(0.8,1.2,1.2)",0.8,1.2,1.2,3.6783964894552557,0.08221717178821564,3.7606136612434713,0.45993369817733765,True
42,mid,0.6,1.0,0.85,3.6783964894552557,0.05011297017335892,3.7285094596286146,0.5174077153205872,True
43,"corner(0.4,0.8,0.5)",0.4,0.8,0.5,3.7427175413312925,0.09816756099462509,3.8408851023259176,0.5872153043746948,True
43,"corner(0.4,0.8,1.2)",0.4,0.8,1.2,3.7427175413312925,0.09092468023300171,3.8336422215642942,0.5809274911880493,True
43,"corner(0.4,1.2,0.5)",0.4,1.2,0.5,3.7427175413312925,0.03999602794647217,3.7827135692777647,0.5439135432243347,True
43,"corner(0.4,1.2,1.2)",0.4,1.2,1.2,3.7427175413312925,0.0354892760515213,3.778206817382814,0.5389126539230347,True
43,"corner(0.8,0.8,0.5)",0.8,0.8,0.5,3.7427175413312925,0.04322684928774834,3.785944390619041,0.4973408877849579,True
43,"corner(0.8,0.8,1.2)",0.8,0.8,1.2,3.7427175413312925,0.04651103541254997,3.7892285767438425,0.49370521306991577,True
43,"corner(0.8,1.2,0.5)",0.8,1.2,0.5,3.7427175413312925,0.08068341761827469,3.823400958949567,0.4628593623638153,True
43,"corner(0.8,1.2,1.2)",0.8,1.2,1.2,3.7427175413312925,0.08436771482229233,3.827085256153585,0.45993369817733765,True
43,mid,0.6,1.0,0.85,3.7427175413312925,0.029769189655780792,3.7724867309870733,0.5174077153205872,True
44,"corner(0.4,0.8,0.5)",0.4,0.8,0.5,3.9632046406293884,0.10330761969089508,4.066512260320284,0.5872153043746948,True
44,"corner(0.4,0.8,1.2)",0.4,0.8,1.2,3.9632046406293884,0.09272980690002441,4.055934447529413,0.5809274911880493,True
44,"corner(0.4,1.2,0.5)",0.4,1.2,0.5,3.9632046406293884,0.04061482101678848,4.003819461646177,0.5439135432243347,True
44,"corner(0.4,1.2,1.2)",0.4,1.2,1.2,3.9632046406293884,0.03764792159199715,4.000852562221386,0.5389126539230347,True
44,"corner(0.8,0.8,0.5)",0.8,0.8,0.5,3.9632046406293884,0.036852240562438965,4.000056881191828,0.4973408877849579,True
44,"corner(0.8,0.8,1.2)",0.8,0.8,1.2,3.9632046406293884,0.03765636682510376,4.000861007454493,0.49370521306991577,True
44,"corner(0.8,1.2,0.5)",0.8,1.2,0.5,3.9632046406293884,0.07596570998430252,4.039170350613691,0.4628593623638153,True
44,"corner(0.8,1.2,1.2)",0.8,1.2,1.2,3.9632046406293884,0.07845757156610489,4.041662212195494,0.45993369817733765,True
44,mid,0.6,1.0,0.85,3.9632046406293884,0.02941209450364113,3.9926167351330295,0.5174077153205872,True
45,"corner(0.4,0.8,0.5)",0.4,0.8,0.5,3.911845622121293,0.10264332592487335,4.014488948046166,0.5872153043746948,True
45,"corner(0.4,0.8,1.2)",0.4,0.8,1.2,3.911845622121293,0.09838847070932388,4.010234092830617,0.5809274911880493,True
45,"corner(0.4,1.2,0.5)",0.4,1.2,0.5,3.911845622121293,0.05325854942202568,3.965104171543319,0.5439135432243347,True
45,"corner(0.4,1.2,1.2)",0.4,1.2,1.2,3.911845622121293,0.05016647279262543,3.9620120949139186,0.5389126539230347,True
45,"corner(0.8,0.8,0.5)",0.8,0.8,0.5,3.911845622121293,0.0386306531727314,3.9504762752940246,0.4973408877849579,True
45,"corner(0.8,0.8,1.2)",0.8,0.8,1.2,3.911845622121293,0.04144147038459778,3.953287092505891,0.49370521306991577,True
45,"corner(0.8,1.2,0.5)",0.8,1.2,0.5,3.911845622121293,0.08050637692213058,3.9923519990434237,0.4628593623638153,True
45,"corner(0.8,1.2,1.2)",0.8,1.2,1.2,3.911845622121293,0.08303900063037872,3.994884622751672,0.45993369817733765,True
45,mid,0.6,1.0,0.85,3.911845622121293,0.03990336135029793,3.951748983471591,0.5174077153205872,True
46,"corner(0.4,0.8,0.5)",0.4,0.8,0.5,4.330165711830568,0.0947655588388443,4.424931270669412,0.5872153043746948,True
46,"corner(0.4,0.8,1.2)",0.4,0.8,1.2,4.330165711830568,0.08007381111383438,4.410239522944402,0.5809274911880493,True
46,"corner(0.4,1.2,0.5)",0.4,1.2,0.5,4.330165711830568,0.0367371067404747,4.366902818571043,0.5439135432243347,True
46,"corner(0.4,1.2,1.2)",0.4,1.2,1.2,4.330165711830568,0.036436714231967926,4.366602426062536,0.5389126539230347,True
46,"corner(0.8,0.8,0.5)",0.8,0.8,0.5,4.330165711830568,0.06319668889045715,4.393362400721025,0.4973408877849579,True
