model,seed,T_test,RMSE
LC-DeepONet,42,4.0,0.13350494874441776
LC-DeepONet,42,6.0,0.15527271774413076
LC-DeepONet,43,4.0,0.11721955496751384
LC-DeepONet,43,6.0,0.1558724192368971
LC-DeepONet,44,4.0,0.10057983565109144
LC-DeepONet,44,6.0,0.1331923396534877
LC-DeepONet,45,4.0,0.11749713839688584
LC-DeepONet,45,6.0,0.15394430077430146
LC-DeepONet,46,4.0,0.10296856075553117
LC-DeepONet,46,6.0,0.13793001395818622
DeepONet,42,4.0,0.13282722503712627
DeepONet,42,6.0,0.1556378413076766
DeepONet,43,4.0,0.11759356638118287
DeepONet,43,6.0,0.1550270741220761
DeepONet,44,4.0,0.10245475027561773
DeepONet,44,6.0,0.13288181964243864
DeepONet,45,4.0,0.1187376571188591
DeepONet,45,6.0,0.1538157022438143
DeepONet,46,4.0,0.1029491670333741
DeepONet,46,6.0,0.13756685149031964
FNO,42,4.0,0.1472613961399329
FNO,42,6.0,0.16702204431800055
FNO,43,4.0,0.18745391994726526
FNO,43,6.0,0.234494830333808
FNO,44,4.0,0.15467397866734234
FNO,44,6.0,0.16679622909099223
FNO,45,4.0,0.13575747973250973
FNO,45,6.0,0.19315294362959673
FNO,46,4.0,0.13928753561053506
FNO,46,6.0,0.16359785108517566
