model,T_test,t,rmse_t_mean,rmse_t_std
DeepONet,4.0,0.0,0.0029756639618426562,0.00025382100466480586
DeepONet,4.0,0.06349206349206349,0.0027637386228889227,0.00029429457171071806
DeepONet,4.0,0.12698412698412698,0.004388478910550475,0.0004292290282817844
DeepONet,4.0,0.19047619047619047,0.009088132344186307,0.0005106583257398871
DeepONet,4.0,0.25396825396825395,0.01540192887187004,0.0007356382212567933
DeepONet,4.0,0.31746031746031744,0.022291119769215585,0.0011055112789824012
DeepONet,4.0,0.38095238095238093,0.029470979422330856,0.0014378122171434264
DeepONet,4.0,0.4444444444444444,0.03638447001576424,0.001679335447076788
DeepONet,4.0,0.5079365079365079,0.043176887184381486,0.0017382929012389773
DeepONet,4.0,0.5714285714285714,0.04964498579502106,0.0017787621902460773
DeepONet,4.0,0.6349206349206349,0.05617922618985176,0.0018654275421581218
DeepONet,4.0,0.6984126984126984,0.06260944455862046,0.0022581325210342487
DeepONet,4.0,0.7619047619047619,0.06917585730552674,0.0030047926504271657
DeepONet,4.0,0.8253968253968254,0.07545056939125061,0.004023462749119738
DeepONet,4.0,0.8888888888888888,0.08154998421669006,0.005237362353044337
DeepONet,4.0,0.9523809523809523,0.08702581226825715,0.006467053017072384
DeepONet,4.0,1.0158730158730158,0.09198175370693207,0.0076541765482400995
DeepONet,4.0,1.0793650793650793,0.0961611419916153,0.00874995854419875
DeepONet,4.0,1.1428571428571428,0.09987896233797074,0.009700226778002707
DeepONet,4.0,1.2063492063492063,0.10298085361719131,0.010498469578470193
DeepONet,4.0,1.2698412698412698,0.1056240051984787,0.011207551946833727
DeepONet,4.0,1.3333333333333333,0.10779299288988113,0.011780542773939815
DeepONet,4.0,1.3968253968253967,0.10967958122491836,0.012275696568595307
DeepONet,4.0,1.4603174603174602,0.1111020490527153,0.012428561415657152
DeepONet,4.0,1.5238095238095237,0.1122331976890564,0.012428509658698855
DeepONet,4.0,1.5873015873015872,0.11284803152084351,0.012269561067311068
DeepONet,4.0,1.6507936507936507,0.11314475685358047,0.011992097095497499
DeepONet,4.0,1.7142857142857142,0.11315820217132569,0.01166639986185845
DeepONet,4.0,1.7777777777777777,0.11292206048965454,0.011442732957069756
DeepONet,4.0,1.8412698412698412,0.11236978024244308,0.011190099175426502
DeepONet,4.0,1.9047619047619047,0.11167021095752716,0.010993393770699068
DeepONet,4.0,1.9682539682539681,0.11085331588983535,0.01068003147537348
DeepONet,4.0,2.0317460317460316,0.11014322489500046,0.010296748544276616
DeepONet,4.0,2.095238095238095,0.10950643718242645,0.009645724913915533
DeepONet,4.0,2.1587301587301586,0.10914252698421478,0.008903889041426853
DeepONet,4.0,2.2222222222222223,0.10893351435661316,0.007929069759617473
DeepONet,4.0,2.2857142857142856,0.10893849134445191,0.006711099235431115
DeepONet,4.0,2.349206349206349,0.10903658121824264,0.0054572387443708745
DeepONet,4.0,2.4126984126984126,0.10948125869035721,0.004568501419299006
DeepONet,4.0,2.4761904761904763,0.11027545630931854,0.004812596129542198
DeepONet,4.0,2.5396825396825395,0.11157854348421097,0.0061061508562639645
DeepONet,4.0,2.603174603174603,0.11357317268848419,0.007932820699847364
DeepONet,4.0,2.6666666666666665,0.11618712693452835,0.009759738470682124
DeepONet,4.0,2.7301587301587302,0.11910183429718017,0.011476733632640103
DeepONet,4.0,2.7936507936507935,0.12237397879362107,0.01310782995179982
DeepONet,4.0,2.8571428571428568,0.12565114647150039,0.014669961809465549
DeepONet,4.0,2.9206349206349205,0.12899023294448853,0.01616145708347408
DeepONet,4.0,2.984126984126984,0.1322333961725235,0.017690636216425287
DeepONet,4.0,3.0476190476190474,0.1355928510427475,0.01925736393976263
DeepONet,4.0,3.1111111111111107,0.13888486474752426,0.020831770757245443
DeepONet,4.0,3.1746031746031744,0.14220192432403564,0.022386218657612922
DeepONet,4.0,3.238095238095238,0.1454076036810875,0.02375037107275618
DeepONet,4.0,3.3015873015873014,0.14873437136411666,0.024909024091018625
DeepONet,4.0,3.3650793650793647,0.15185801982879638,0.025646360395313927
DeepONet,4.0,3.4285714285714284,0.1549565985798836,0.02603009210013629
DeepONet,4.0,3.492063492063492,0.15792698562145233,0.0261894354212351
DeepONet,4.0,3.5555555555555554,0.16097009778022767,0.02637189516657273
DeepONet,4.0,3.6190476190476186,0.1637415647506714,0.026507908578029354
DeepONet,4.0,3.6825396825396823,0.16642354130744935,0.026594556801236197
DeepONet,4.0,3.746031746031746,0.16884253919124603,0.02653388177986709
DeepONet,4.0,3.8095238095238093,0.17111313045024873,0.02618327422104871
DeepONet,4.0,3.8730158730158726,0.17308347821235656,0.02544241789922998
